,,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
125,71%,89433,39.60898,-119.77665,Sun Valley,NV,Nevada,TRUE,,21875,543.8,32031,Washoe,"{""32031"": ""100""}",Washoe,32031,FALSE,FALSE,America/Los_Angeles
126,72%,89434,39.53209,-119.64042,Sparks,NV,Nevada,TRUE,,25575,330.3,32031,Washoe,"{""32031"": ""95.62"", ""32029"": ""4.38""}",Washoe|Storey,32031|32029,FALSE,FALSE,America/Los_Angeles
127,73%,89436,39.60434,-119.68778,Sparks,NV,Nevada,TRUE,,43826,414.6,32031,Washoe,"{""32031"": ""100""}",Washoe,32031,FALSE,FALSE,America/Los_Angeles
128,73%,89438,40.77331,-117.1078,Valmy,NV,Nevada,TRUE,,91,0.8,32013,Humboldt,"{""32013"": ""100""}",Humboldt,32013,FALSE,FALSE,America/Los_Angeles
129,74%,89439,39.52955,-120.00394,Verdi,NV,Nevada,TRUE,,1284,34,32031,Washoe,"{""32031"": ""94.35"", ""06091"": ""5.65""}",Washoe|Sierra,32031|06091,FALSE,FALSE,America/Los_Angeles
130,74%,89440,39.29648,-119.65873,Virginia City,NV,Nevada,TRUE,,864,23.1,32029,Storey,"{""32029"": ""100""}",Storey,32029,FALSE,FALSE,America/Los_Angeles
131,75%,89441,39.67635,-119.6758,Sparks,NV,Nevada,TRUE,,12435,115.7,32031,Washoe,"{""32031"": ""100""}",Washoe,32031,FALSE,FALSE,America/Los_Angeles
132,75%,89442,39.65978,-119.42121,Wadsworth,NV,Nevada,TRUE,,1076,2.6,32031,Washoe,"{""32031"": ""99.11"", ""32029"": ""0.89""}",Washoe|Storey,32031|32029,FALSE,FALSE,America/Los_Angeles
133,76%,89444,38.70709,-119.37194,Wellington,NV,Nevada,TRUE,,2949,3.8,32005,Douglas,"{""32005"": ""56.4"", ""32019"": ""43.6""}",Douglas|Lyon,32005|32019,FALSE,FALSE,America/Los_Angeles
134,77%,89445,41.16908,-118.27422,Winnemucca,NV,Nevada,TRUE,,16387,1.6,32013,Humboldt,"{""32013"": ""92.47"", ""32027"": ""7.53""}",Humboldt|Pershing,32013|32027,FALSE,FALSE,America/Los_Angeles
135,77%,89446,41.21713,-117.87034,Winnemucca,NV,Nevada,TRUE,,0,0,32013,Humboldt,"{""32013"": ""100""}",Humboldt,32013,FALSE,FALSE,America/Los_Angeles
136,78%,89447,38.8122,-119.13121,Yerington,NV,Nevada,TRUE,,7834,4,32019,Lyon,"{""32019"": ""100""}",Lyon,32019,FALSE,FALSE,America/Los_Angeles
137,78%,89448,39.00784,-119.92412,Zephyr Cove,NV,Nevada,TRUE,,1712,53.8,32005,Douglas,"{""32005"": ""100""}",Douglas,32005,FALSE,FALSE,America/Los_Angeles
138,79%,89449,38.96431,-119.90684,Stateline,NV,Nevada,TRUE,,3094,119.1,32005,Douglas,"{""32005"": ""100""}",Douglas,32005,FALSE,FALSE,America/Los_Angeles
139,79%,89450,39.24043,-119.93903,Incline Village,NV,Nevada,TRUE,,60,816.7,32031,Washoe,"{""32031"": ""100""}",Washoe,32031,FALSE,FALSE,America/Los_Angeles
